player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Tommylee Lewis,MIA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,202.0,152.5
Tarik Black,NYJ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,202.0,152.5
Terrace Marshall Jr.,CAR,12,6.0,3.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,24.0,2.0,120.0,152.5
KJ Hamler,DEN,3,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,174.5,152.5
Frank Darby,ATL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,191.5,152.5
Cam Sims,WAS,12,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,3.0,5.0,1.0,22.0,1.8333333333333333,126.0,156.0
Ben Skowronek,LAR,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,2.0,1.0,5.0,0.0,2.0,2.0,20.0,1.8181818181818181,132.0,157.0
Curtis Samuel,WAS,5,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,1.8,163.5,158.0
Jeff Smith,NYJ,9,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,16.0,1.7777777777777777,146.0,159.5
Isaiah Ford,MIA,9,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,16.0,1.7777777777777777,146.0,159.5
Mack Hollins,MIA,16,0.0,0.0,0.0,0.0,2.0,5.0,3.0,1.0,6.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,28.0,1.75,115.0,161.0
Isaiah McKenzie,BUF,15,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,12.0,2.0,1.0,26.0,1.7333333333333334,117.0,162.0
Dazz Newsome,CHI,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,1.6666666666666667,183.0,164.0
Cameron Batson,TEN,3,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.6666666666666667,183.0,164.0
Tom Kennedy,DET,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,10.0,1.6666666666666667,161.0,164.0
Dax Milne,WAS,9,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,14.0,1.5555555555555556,151.0,166.5
Josh Gordon,KC,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,14.0,1.5555555555555556,151.0,166.5
Scotty Miller,TB,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,9.0,1.5,163.5,170.5
Trent Taylor,CIN,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,198.0,170.5
